S.no.,Feed_T,Feed_P,x_F(B),Stages,Feed_Stage,RR,W,Qc_kW,Qr_kW,x_D(B),x_W(T)
1,357.3600148,130133.5063,0.445262074,11,3,3.737141182,57.99309435,4534.531231,4582.200637,0.914655695,0.894740021
2,360.9234896,176596.4504,0.551685387,11,9,4.01026356,44.51464296,6029.243534,6066.948737,0.879216471,0.856566325
3,356.6996656,102873.957,0.427422185,17,8,3.107283609,44.67877448,6121.950335,6171.553254,0.771191742,0.998233026
4,364.1886189,153149.7448,0.534004813,14,11,2.652705781,53.31624567,4964.701162,5014.100788,0.988507576,0.86395823
5,356.4889576,102449.1863,0.476901694,16,7,4.660155259,49.0645308,5480.479276,5546.858132,0.931451672,0.994981274
6,364.6674606,102554.444,0.538769062,10,4,1.855723443,45.88508782,5810.891523,5866.270192,0.941617412,0.93633307
7,360.5905376,117048.3784,0.422915078,12,10,3.271197711,49.28330462,5644.418458,5676.819352,0.733715655,0.896925045
8,364.0189952,153754.4023,0.594212073,14,8,3.408185002,54.3992838,4840.648215,4874.318345,0.997029496,0.743453456
9,357.2205528,128251.737,0.40722006,19,3,4.440917738,47.10157885,5855.149266,5905.753865,0.769754569,0.999931963
10,363.619848,117174.5532,0.555798093,12,3,1.523893401,45.73057609,5814.713331,5867.451105,0.952548439,0.915033778
11,357.0006899,167228.8161,0.5949841,13,5,4.992116376,56.04928817,4677.081106,4706.294623,0.985463396,0.711207888
12,357.9084723,192337.6942,0.485626108,17,10,4.241791596,50.35068534,5308.831242,5376.699421,0.962574104,0.984678137
13,360.7372663,165503.3578,0.426765855,11,4,3.230911741,57.19790246,4616.46445,4672.492415,0.919059183,0.94162505
14,358.0208709,112708.4218,0.581068768,10,4,3.825302461,58.75993275,4401.703899,4427.885578,0.971310578,0.692818518
15,362.7870808,132111.562,0.402041181,11,9,2.4362291,53.46909973,5173.06847,5205.790656,0.740875873,0.892826011
16,356.0206795,119532.5784,0.514084072,18,9,3.732177207,50.00045329,5308.014491,5375.956798,0.996665678,0.968488783
17,360.1969067,178035.3296,0.451810038,14,12,3.642011244,48.83001879,5658.896809,5693.348333,0.775334804,0.887218219
18,364.1350518,142609.9681,0.424583966,12,10,2.62230585,45.19919518,6130.512247,6160.60782,0.697795026,0.906664984
19,358.9085308,132781.5486,0.457209934,18,16,2.639441886,54.22172808,5008.845695,5046.177452,0.840275963,0.866204709
20,360.806522,160376.0274,0.489724853,16,12,4.498160535,41.33822968,6451.507094,6497.692418,0.80983538,0.964533842
21,355.6615884,160472.1784,0.476626941,18,14,2.557094976,48.86936186,5550.542149,5604.078361,0.884639799,0.95026543
22,360.9763963,182754.4015,0.488921047,10,8,3.319600909,51.40110592,5302.799529,5340.224811,0.856136257,0.85827485
23,356.3618882,122261.826,0.572871427,18,15,4.187046309,56.26125706,4640.169506,4675.867135,0.999836449,0.759060604
24,357.5421796,103566.8621,0.544785768,16,7,4.122930949,45.24218046,5827.113944,5895.813894,0.985480984,0.988599423
25,361.5974416,175565.4963,0.548788114,11,9,2.25525417,41.41237702,6405.358459,6441.136809,0.844817447,0.870015543
26,359.2909708,198058.6474,0.44672307,16,14,1.550007832,41.92313791,6493.057809,6522.741597,0.702124201,0.907088621
27,364.7781505,138342.0706,0.425871972,14,6,2.833161602,43.70450116,6246.201147,6293.577281,0.754087945,0.996901001
28,359.2301583,128174.5364,0.485114955,18,13,2.532164981,56.1606182,4651.99403,4711.028946,0.998699686,0.915792973
29,357.5787878,110964.6522,0.596888892,10,8,4.638590691,45.16887235,5890.130825,5927.74616,0.939625663,0.81916408
30,355.0054341,112143.9872,0.489397345,14,4,2.009098533,56.80980853,4621.014545,4668.559363,0.959578511,0.86806231
31,357.0884142,194198.5824,0.581675774,19,11,3.511516398,50.76545506,5223.587844,5267.599192,0.999503347,0.823551567
32,362.2426173,141952.0265,0.555836551,16,4,4.822635133,42.66259785,6127.005326,6193.404044,0.965655424,0.994949165
33,364.649095,181494.0519,0.570928938,18,9,3.140834341,44.28905774,5912.736228,5977.770617,0.997921374,0.966182307
34,355.0932933,108049.2752,0.423953783,12,8,3.455076215,53.65360745,5059.070012,5109.944615,0.853832105,0.947378367
35,357.0552916,143696.2972,0.494180846,17,10,2.978936237,59.73851407,4272.851035,4319.824357,0.998134421,0.845464693
36,363.5355253,177058.1994,0.432898087,18,14,3.413278109,50.52748992,5422.752216,5472.420347,0.829800218,0.955716995
37,357.4940076,174364.5657,0.568385639,11,6,4.230515114,42.89680783,6115.1542,6171.992929,0.955116627,0.946421291
38,360.0078,183482.1495,0.53382021,19,4,3.579604767,54.84712338,4822.290123,4864.147462,0.968354945,0.823910371
39,361.9385282,126958.4938,0.484640356,12,10,3.848292003,56.92357591,4653.868984,4692.854961,0.910278066,0.837457302
40,359.0595336,189232.1002,0.506712303,15,13,2.267710171,50.67826913,5359.361469,5398.268248,0.879339212,0.85594026
41,359.7140378,141173.4192,0.439900886,18,7,2.246318754,58.11710541,4455.864674,4520.713374,0.986693836,0.954153004
42,363.9005548,199013.1032,0.559426625,11,7,2.281888141,52.84530412,5016.538256,5059.541729,0.986868161,0.821986179
43,360.0760496,120996.1222,0.589611103,14,5,3.387077983,47.03864142,5635.157375,5682.117533,0.986135332,0.856840182
44,357.3190124,200575.2072,0.513062603,18,6,4.389228106,45.52942734,5849.62146,5916.225288,0.941154471,0.999098665
45,358.6624626,101418.557,0.453385239,14,12,3.283692049,52.16516162,5258.806567,5295.038125,0.812109707,0.87556087
46,357.4499475,171634.3939,0.564965623,16,2,4.580076474,56.42767403,4697.9848,4722.84361,0.920773125,0.709781842
47,355.5000381,159674.6918,0.441742256,13,11,3.436074324,46.2173784,5985.396366,6017.519571,0.733985577,0.898337872
48,356.4943687,175544.3144,0.445368862,17,10,2.41334758,48.78374115,5583.758765,5642.194638,0.860828145,0.990806585
49,361.9101613,126883.9106,0.576657415,18,13,4.798657054,52.55084634,5033.882696,5075.570423,0.999761501,0.805371271
50,357.9996201,151543.8841,0.564562836,17,14,3.289144702,47.51192256,5594.850415,5646.625489,0.977629531,0.891766345
